playerID,yearID,teamID,inseason,games,rank
lajoina01,1905,CLE,3,56,5
armoubi99,1905,DET,1,154,3
griffcl01,1905,NYA,1,152,6
mackco01,1905,PHA,1,152,1
mcaleji01,1905,SLA,1,156,8
stahlja01,1905,WS1,1,154,7
hanlone01,1905,BRO,1,155,8
tennefr02,1905,BSN,1,156,7
seleefr99,1905,CHN,1,65,3
chancfr01,1905,CHN,2,90,3
kellejo01,1905,CIN,1,155,5
mcgrajo01,1905,NY1,1,155,1
duffyhu01,1905,PHI,1,155,4
clarkfr01,1905,PIT,1,155,2
nichoki01,1905,SLN,1,14,6
burkeji01,1905,SLN,2,90,6
robisst99,1905,SLN,3,50,6
colliji01,1906,BOS,1,115,8
stahlch01,1906,BOS,2,40,8
jonesfi01,1906,CHA,1,154,1
lajoina01,1906,CLE,1,157,3
armoubi99,1906,DET,1,151,6
griffcl01,1906,NYA,1,155,2
mackco01,1906,PHA,1,149,4
mcaleji01,1906,SLA,1,154,5
stahlja01,1906,WS1,1,151,7
donovpa01,1906,BRO,1,153,5
tennefr02,1906,BSN,1,152,8
chancfr01,1906,CHN,1,155,1
hanlone01,1906,CIN,1,155,6
mcgrajo01,1906,NY1,1,153,2
duffyhu01,1906,PHI,1,154,4
clarkfr01,1906,PIT,1,154,3
mcclojo99,1906,SLN,1,154,7
youngcy01,1907,BOS,1,6,7
huffge99,1907,BOS,2,8,7
unglabo01,1907,BOS,3,29,7
mcguide01,1907,BOS,4,112,7
jonesfi01,1907,CHA,1,157,3
lajoina01,1907,CLE,1,158,4
jennihu01,1907,DET,1,153,1
griffcl01,1907,NYA,1,152,5
mackco01,1907,PHA,1,150,2
mcaleji01,1907,SLA,1,155,6
cantijo99,1907,WS1,1,154,8
donovpa01,1907,BRO,1,153,5
tennefr02,1907,BSN,1,152,7
chancfr01,1907,CHN,1,155,1
hanlone01,1907,CIN,1,156,6
mcgrajo01,1907,NY1,1,155,4
murrabi99,1907,PHI,1,149,3
clarkfr01,1907,PIT,1,157,2
mcclojo99,1907,SLN,1,155,8
mcguide01,1908,BOS,1,115,5
lakefr01,1908,BOS,2,40,5
jonesfi01,1908,CHA,1,156,3
lajoina01,1908,CLE,1,157,2
jennihu01,1908,DET,1,154,1
griffcl01,1908,NYA,1,57,8
elberki01,1908,NYA,2,98,8
mackco01,1908,PHA,1,157,6
mcaleji01,1908,SLA,1,155,4
cantijo99,1908,WS1,1,155,7
donovpa01,1908,BRO,1,154,7
kellejo01,1908,BSN,1,156,6
chancfr01,1908,CHN,1,158,1
ganzejo01,1908,CIN,1,155,5
mcgrajo01,1908,NY1,1,157,3
murrabi99,1908,PHI,1,155,4
clarkfr01,1908,PIT,1,155,2
mcclojo99,1908,SLN,1,154,8
lakefr01,1909,BOS,1,152,3
sullibi03,1909,CHA,1,159,4
lajoina01,1909,CLE,1,114,6
mcguide01,1909,CLE,2,41,6
jennihu01,1909,DET,1,158,1
stallge01,1909,NYA,1,153,5
mackco01,1909,PHA,1,153,2
mcaleji01,1909,SLA,1,154,7
cantijo99,1909,WS1,1,156,8
lumleha01,1909,BRO,1,155,6
bowerfr01,1909,BSN,1,76,8
smithha03,1909,BSN,2,79,8
chancfr01,1909,CHN,1,155,2
griffcl01,1909,CIN,1,157,4
mcgrajo01,1909,NY1,1,158,3
murrabi99,1909,PHI,1,154,5
clarkfr01,1909,PIT,1,154,1
bresnro01,1909,SLN,1,154,7
donovpa01,1910,BOS,1,158,4
duffyhu01,1910,CHA,1,156,6
mcguide01,1910,CLE,1,161,5
jennihu01,1910,DET,1,155,3
stallge01,1910,NYA,1,142,2
chaseha01,1910,NYA,2,14,2
mackco01,1910,PHA,1,155,1
oconnja01,1910,SLA,1,158,8
mcaleji01,1910,WS1,1,157,7
dahlebi01,1910,BRO,1,156,6
lakefr01,1910,BSN,1,157,8
chancfr01,1910,CHN,1,154,1
griffcl01,1910,CIN,1,156,5
mcgrajo01,1910,NY1,1,155,2
dooinre01,1910,PHI,1,157,4
clarkfr01,1910,PIT,1,154,3
bresnro01,1910,SLN,1,153,7
donovpa01,1911,BOS,1,153,5
duffyhu01,1911,CHA,1,154,4
mcguide01,1911,CLE,1,17,3
stovage01,1911,CLE,2,139,3
jennihu01,1911,DET,1,154,2
chaseha01,1911,NYA,1,153,6
mackco01,1911,PHA,1,152,1
wallabo01,1911,SLA,1,152,8
mcaleji01,1911,WS1,1,154,7
dahlebi01,1911,BRO,1,154,7
tennefr02,1911,BSN,1,156,8
chancfr01,1911,CHN,1,158,2
griffcl01,1911,CIN,1,159,6
mcgrajo01,1911,NY1,1,154,1
